MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,GENRE_LIST,Director,Actors
Uglies,,"Action, Drama, Sci-Fi",7.1,"
A world in which a compulsory operation wipes out physical differences and makes everyone pretty.",,60,,"['Action', 'Drama', 'Sci-Fi']",McG,
Kapi,2019,"Comedy, Drama",7.0,"
Yakup and Semsa are Syriac families living in Berlin with their three children and grandchildren. Twenty-five years ago they migrated from Mardin to Berlin. One day, a call comes from ...                See full summary »
",1262,110,,"['Comedy', 'Drama']",Nihat Durak,"Kadir Inanir, 
Vahide Perçin, 
Timur Acar, 
James Ketteridge"
Lockwood,,"Drama, Mystery, Thriller",7.1,"
Add a Plot
",,60,,"['Drama', 'Mystery', 'Thriller']",,"Aryè Campos, 
Martin Copping, 
Mason Dye, 
Terri Ivens"
When My Love Blooms,2020,"Drama, Romance",7.6,"
Jae-hyun and Ji-soo fell in love when they were university students. Twenty years later, they cross paths once again: Jae-hyun has become a successful businessman, while Ji-soo is a mother and a contract worker living a difficult life.",199,60,,"['Drama', 'Romance']",,"Jin-young Park, 
So-nee Jeon, 
Lee Bo-young, 
Yoo Ji-Tae"
Untitled Ersan Kuneri Project,,Comedy,7.1,"
The story of erotic film producer and director, Ersan Kuneri, in the 70s and 80s.",,60,,['Comedy'],,"Zafer Algöz, 
Merve Dizdar, 
Uraz Kaygilaroglu, 
Ezgi Mola"
Mytho,2019,Drama,6.8,"
Desperate to get her family attention, an overworked mother, lie to them about her condition.",844,60,,['Drama'],,"Marina Hands, 
Mathieu Demy, 
Marie Drion, 
Jérémy Gillet"
Amar y Vivir,2020,"Drama, Romance",7.0,"
Irene, the lead singer of the market place band 'Los Milagrosos', meets Joaquin the mechanic, when he arrives in the city carrying nothing but the clothes he is wearing. As they fight for ...                See full summary »
",123,60,,"['Drama', 'Romance']",,"Ana María Estupiñán, 
Carlos Torres, 
Yuri Vargas, 
Jim Muñoz"
Heartbeats,2017,"Comedy, Drama, Music",5.4,"
A young American college student with dreams of being a professional dancer travels to India with her family for a week long Indian wedding and falls in love -- both with a new style of dance, and with a young man who introduces it to her.",761,107,,"['Comedy', 'Drama', 'Music']",Duane Adler,"Krystal Ellsworth, 
Amitash Pradhan, 
Daphne Zuniga, 
Paul McGillion"
Once Again,2020,"Comedy, Drama, Romance",8.5,"
""Once Again"" is a story about love and family based on the Song Family, who never have a peaceful day.",178,35,,"['Comedy', 'Drama', 'Romance']",,"Lee Min-Jung, 
Ho-jin Chun, 
Hwa-yeon Cha, 
Lee Sang-Yeob"
Magic for Humans,2018,"Comedy, Reality-TV",7.2,"
Justin Willman performs magic tricks on the street.",3104,23,,"['Comedy', 'Reality-TV']",,"Justin Willman, 
Jillian Sipkins, 
Mateo Ray Garcia, 
Chandler Bolnick"
Burning Sands,2017,Drama,6.1,"
Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",2682,96,,['Drama'],Gerard McMurray,"Trevor Jackson, 
Tosin Cole, 
DeRon Horton, 
Alfre Woodard"
El-Kanz: El-Haqiqah wa el-Khayal 1,2017,"Action, Adventure, Drama",7.0,"
The events revolve around four eras, namely the Pharaonic and Abbasid era and the Kingdom era. The events revolve around corruption and the level of some clerics through the ages on power ...                See full summary »
",1707,157,,"['Action', 'Adventure', 'Drama']",Sharif Arafah,"Amina Khalil, 
Hind Sabri, 
Ahmed Amin, 
Mohamad Ramadan"
Mostly Sunny,2016,Documentary,5.4,"
Mostly Sunny is a documentary that tells the remarkable story of Sunny Leone, the Canadian-born, American-bred adult film star who is pursuing her dreams of Bollywood stardom.",694,83,,['Documentary'],Dilip Mehta,"Sunny Leone, 
Daniel Weber, 
Sundeep Vohra, 
Kiran Bedi"
Dope,,"Documentary, Crime",7.3,"
Ride along for an uncompromising look at the lives of those who sell, use and wage a war on drugs in the U.S. and Mexico.",1544,45,,"['Documentary', 'Crime']",,
Magi: Shindobaddo no bôken,2016,"Animation, Action, Adventure",7.6,"
Young warrior Sinbad sets himself on the path to his destiny, encountering both friends and foes, and changing the world on his way.",1953,24,,"['Animation', 'Action', 'Adventure']",,"Jalen K. Cassell, 
Vernon Dew, 
Melissa Fahn, 
Grant George"
Persona,2019,Drama,6.6,"
An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.",975,20,,['Drama'],,"Ji-eun Lee, 
Bae Doona, 
Kim Tae-hoon, 
Mario Leon Adrion"
Zumbo's Just Desserts,2016,Reality-TV,6.9,"
Amateur Australian chefs compete to impress patisserie chef Adriano Zumbo with their sweet creations. Those who don't fit the brief go head to head in the 'Zumbo test' to replicate his unique desserts.",1935,52,,['Reality-TV'],,"Gigi Falanga, 
Rachel Khoo, 
Adriano Zumbo"
Masameer: The Movie,2020,Animation,6.0,"
A child with a knack for AI decided to change the world by creating crime-fighting heroes out of her unlikely friends.",2068,110,,['Animation'],Malik Nejer,"Shahad Alahmari, 
Yousef Aldakheel, 
Lama Alfard, 
Ibraheem Alkhairallah"
Bad Boy Billionaires: India,2020,"Documentary, Biography, Crime",8.0,"
This investigative docuseries explores the greed, fraud and corruption that built up - and ultimately brought down - India's most infamous tycoons.",2687,59,,"['Documentary', 'Biography', 'Crime']",,"Star:
Aayush Ailawadi"
Organize Isler: Sazan Sarmali,2019,Comedy,6.0,"
Asim Noyan swindles people with his lies and games. Asim Noyan and his gang, who no one else has been able to catch, gets into a ruse again.",13269,121,,['Comedy'],Yilmaz Erdogan,"Yilmaz Erdogan, 
Kivanç Tatlitug, 
Ezgi Mola, 
Bensu Soral"
Daddy Issues,,"Drama, Romance",4.2,"
Maya, a queer pixie artist, meets and falls madly in love with her insta-crush: the sexually fluid fashionista, Jasmine. It's all gumdrops and fairytales until Maya discovers Jasmine's passionate relationship with a secret sugar daddy.",695,81,,"['Drama', 'Romance']",Amara Cash,"Madison Lawlor, 
Montana Manning, 
Andrew Pifko, 
Kamala Jones"
Hakgyo 2017,2017,Drama,7.6,"
The story of 18-year old students who have to battle the discrimination at their school in order to have a future.",901,60,,['Drama'],,"Se-Jeong Kim, 
Kim Jung-hyun, 
Dong-Yoon Jang, 
Sun Hwa Han"
Tony Robbins: I Am Not Your Guru,2016,Documentary,6.7,"
TONY ROBBINS: I AM NOT YOUR GURU, a feature documentary film about internationally renowned life and business strategist Tony Robbins, is a revelatory cinéma vérité film that goes behind ...                See full summary »
",4143,115,,['Documentary'],Joe Berlinger,"Sage Bonnie Humphrey, 
Steven Kronick, 
Anthony Robbins, 
Dawn Watson"
Courage & Stupidity,2005,"Comedy, Fantasy",7.5,"
A young director must find a way to make his movie after he accidentally breaks the film's main prop.",3187,25,,"['Comedy', 'Fantasy']",Darin Beckstead,"Todd Wall, 
Aaron Fiore, 
Kahil Dotay, 
Tom Bitler"
Sarangui Ondo,2017,"Comedy, Romance",7.2,"
About the love between a writer who is elder than the person she loves, the chef.",465,60,,"['Comedy', 'Romance']",,"Yang Se-Jong, 
Jo Bo-ah, 
Kim Jae-Wook, 
Hyeon-jin Seo"
One of Our Dinosaurs Is Missing,1975,"Family, Adventure, Comedy",6.0,"
A suspected Western spy steals a secret microfilm from China and hides it in the skeleton of a museum dinosaur, prompting a frantic search for it by various interested parties.",1701,94,,"['Family', 'Adventure', 'Comedy']",Robert Stevenson,"Peter Ustinov, 
Helen Hayes, 
Derek Nimmo, 
Hugh Burden"
Lost & Found Music Studios,2015,Family,6.8,"
Lost and found is a place where young musicians come to discover themselves and define them self as they choose in this series you get to know who they are.",569,30,,['Family'],,"Levi Randall, 
Alex Zaichkowski, 
Keara Graves, 
Shane Harte"
Babies,2020,Documentary,7.0,"
A look at how infants learn and discover during their first year of life.",661,60,,['Documentary'],,"Star:
Pascal Wallisch"
Bing-ui,2019,"Comedy, Crime, Drama",6.9,"
Kang Pil Sung works as a detective. His instincts as a detective are excellent and he is foul-mouthed. He is both lazy and rough, but he is also soft-hearted. Hong Seo Jung has excellent ...                See full summary »
",578,60,,"['Comedy', 'Crime', 'Drama']",,"Han Sun Jo, 
Jun-hee Ko, 
Sae-byeok Song, 
Jeong-hun Yeon"
Bongwater,1998,"Comedy, Drama, Romance",5.4,"
An indolent artist in Portland, Oregon becomes addicted to marijuana, prompting his girlfriend to flee to New York City with a heroin addict.",3843,97,,"['Comedy', 'Drama', 'Romance']",Richard Sears,"Luke Wilson, 
Alicia Witt, 
Amy Locane, 
Brittany Murphy"
Switched,2018,"Drama, Sci-Fi",7.1,"
In this sci-fi teen drama based on a Japanese comic book series, 2 high school girls swapped bodies. After the unattractive girl switched with a cute popular girl, she refused to switch back.",1210,35,,"['Drama', 'Sci-Fi']",,"Kaya Kiyohara, 
Daiki Shigeoka, 
Tomohiro Kamiyama, 
Megumi Seki"
Selection Day,2018,Sport,7.4,"
Story of an Indian boy's love of cricket in Mumbai, and his discovery that the game isn't as pure as he thought.",2010,23,,['Sport'],,"Yash Dholye, 
Prashannt Jha, 
Mahesh Manjrekar, 
Shiv Panditt"
The Mr. Peabody & Sherman Show,2015,"Animation, Short, Adventure",5.8,"
The world's smartest dog and his boy host a TV talk show.",384,23,,"['Animation', 'Short', 'Adventure']",,"Chris Parnell, 
Max Charles, 
David P. Smith, 
Laura Prats"
Rattlesnakes,2019,Thriller,5.5,"
Robert McQueen's day takes a turn for the worst when he is held hostage and accused by three vengeful husbands of sleeping with their wives.",393,85,,['Thriller'],Julius Amedume,"Jimmy Jean-Louis, 
Jack Coleman, 
Kathleen McClellan, 
Jay Acovone"
The Big Flower Fight,2020,Reality-TV,7.4,"
Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.",964,60,,['Reality-TV'],,"James Alexander-Sinclair, 
Kristen Griffith-Vanderyacht, 
Natasia Demetriou, 
Vic Reeves"
Cooked with Cannabis,2020,Reality-TV,6.6,"
Cooked with Cannabis is a competitive cooking show where three chefs make cannabis infused meals for a chance to win $10,000. Co-hots Kelis and Leather Storrs judge the contestants with the...                See full summary »
",284,60,,['Reality-TV'],,"Kelis, 
Leather Storrs, 
Flula Borg, 
Jade Catta-Preta"
Beef,,"Comedy, Drama",7.1,"
Two people who let a road rage incident burrow into their minds and slowly consume their every thought and action.",,60,,"['Comedy', 'Drama']",,"Steven Yeun, 
Ali Wong"
Amy Schumer: The Leather Special,,Comedy,2.9,"
Three minutes into her set, Amy Schumer claims that all good comedians have a ""leather special,"" where they wear all leather and regret it later in their careers--this is hers. Amy muses on...                See full summary »
",9496,57,,['Comedy'],Amy Schumer,"Amy Schumer, 
Kim Caramele"
Our Godfather,2019,Documentary,6.8,"
OUR GODFATHER is a feature-length documentary about Tommaso Buscetta, the first high-ranking Italian mafia boss ever to turn against Cosa Nostra. Buscetta helped convict more than 400 ...                See full summary »
",1442,92,,['Documentary'],,"Directors:
Mark Franchetti, 
Andrew Meier"
I [Heart] Arlo,2021,"Animation, Short, Adventure",7.1,"
It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood and make it their own.",,11,,"['Animation', 'Short', 'Adventure']",,"Michael J. Woodard, 
Jennifer Coolidge, 
Flea, 
Brett Gelman"
Kaali Khuhi,2020,"Drama, Horror, Mystery",3.5,"
Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past.",1072,90,,"['Drama', 'Horror', 'Mystery']",Terrie Samundra,"Shabana Azmi, 
Sanjeeda Sheikh, 
Riva Arora, 
Satyadeep Misra"
Zeit der Geheimnisse,2019,Drama,6.5,"
A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.",986,60,,['Drama'],,"Corinna Harfouch, 
Christiane Paul, 
Svenja Jung, 
Leonie Benesch"
Mighty Express,2020,"Animation, Adventure, Comedy",5.0,"
An ensemble cast of trains and kids in an expansive world with amazing adventures.",87,60,,"['Animation', 'Adventure', 'Comedy']",,"Tyler Nathan, 
Tyler James Nathan, 
Aaliyah Cinello, 
Gracen Daly"
Aala Kaf Ifrit,2017,"Crime, Drama, Thriller",7.0,"
A college student seeks help after a brutal assault but faces a bureaucratic nightmare when she reveals that her perpetrators are police officers.",1912,100,0.01,"['Crime', 'Drama', 'Thriller']",Kaouther Ben Hania,"Mariam Al Ferjani, 
Ghanem Zrelli, 
Noomen Hamda, 
Mohamed Akkari"
Turbo FAST,2013,"Animation, Action, Comedy",6.5,"
Indy 500 champion Turbo and his friends race other species and battle enemies in the snail populated world of Starlight City.",521,23,,"['Animation', 'Action', 'Comedy']",,"Reid Scott, 
Mike Bell, 
John Eric Bentley, 
Grey Griffin"
7 años,2016,Drama,6.8,"
Four friends face an agonizing decision. One must go to prison. The other three must make the sacrifice worthwhile.",4660,77,,['Drama'],Roger Gual,"Juana Acosta, 
Alex Brendemühl, 
Paco León, 
Manuel Morón"
Running Wild,2017,"Drama, Western",5.9,"
Stella Davis, a widow who saves her ranch by working with convicts to rehabilitate a herd of wild horses that wandered on to her property, must fight prejudice.",1327,99,,"['Drama', 'Western']",Alex Ranarivelo,"Sharon Stone, 
Jason Lewis, 
Tommy Flanagan, 
Christina Moore"
Mohawk,2017,"Action, Drama, History",4.6,"
Late in the War of 1812, a young Mohawk woman and her two lovers battle a squad of American soldiers hell-bent on revenge.",1446,91,,"['Action', 'Drama', 'History']",Ted Geoghegan,"Kaniehtiio Horn, 
Ezra Buzzington, 
Eamon Farren, 
Justin Rain"
Where on Earth Is Carmen Sandiego?,1994,"Animation, Action, Adventure",7.3,"
The world famous thief, Carmen Sandiego (Rita Moreno), plays an intricate game of cat and mouse with teen ACME detectives, Zack (Scott Menville) and Ivy (Jennifer Hale).",1787,21,,"['Animation', 'Action', 'Adventure']",,"Rodger Bumpass, 
Jennifer Hale, 
Scott Menville, 
Eric Monette"
Yeh Kaali Kaali Ankhein,,"Action, Drama, Romance",7.1,"
Aggressively pursued by a politician's daughter who will do anything to marry him, a small-town man takes drastic measures to reclaim his life.",,60,,"['Action', 'Drama', 'Romance']",,"Tahir Raj Bhasin, 
Shweta Tripathi, 
Anchal Singh, 
Surya Sharma"
Wang Qiu Shao Nian,2019,Sport,7.6,"
A year 10 student returns to China with the aim of beating his tennis genius father. However over time, despite trying to remain aloof, he learns there a better things to strive for thanks ...                See full summary »
",154,60,,['Sport'],,"Jun Cao, 
Cheng Chang, 
Ivan Chen, 
Li Dong"
Historia de un Crimen: Colosio,2019,"Crime, Drama, Thriller",7.6,"
In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it.",732,45,,"['Crime', 'Drama', 'Thriller']",,"Martín Altomaro, 
Norma Angélica, 
Enrique Arreola, 
Ari Brickman"
Pandemic: How to Prevent an Outbreak,2020,Documentary,6.4,"
In this docuseries, meet the heroes on the front lines of the battle against influenza and learn about their efforts to stop the next global outbreak.",2627,50,,['Documentary'],,"Syra Madad, 
Jake Glanville, 
Sarah Ives, 
Holly Goracke"
Interior. Leather Bar.,2013,Drama,5.1,"
Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from Cruising (1980) as a starting point to a broader exploration of sexual and creative freedom.",2472,60,0.04,['Drama'],,"Directors:
James Franco, 
Travis Mathews
| 
    
Val Lauren, 
Christian Patrick, 
James Franco, 
Travis Mathews"
Fightworld,2018,Documentary,7.6,"
Actor and martial artist Frank Grillo explores and experiences the diverse fighting techniques found in cultures around the world.",735,40,,['Documentary'],,"Frank Grillo, 
Buakaw Banchamek, 
Julio Cesar Chavez, 
Kru Dam"
Most Dangerous Game,,Comedy,7.1,"
Plot details are under wraps.",,60,,['Comedy'],,"Zoey Deutch, 
Glen Powell, 
Tonjha Richardson"
Untitled Arnold Schwarzenegger/Skydance Project,,"Action, Adventure, Thriller",7.1,"
A spy adventure with a father and daughter at the center of the story.",,60,,"['Action', 'Adventure', 'Thriller']",,"Monica Barbaro, 
Arnold Schwarzenegger"
Hundraettåringen som smet från notan och försvann,2016,"Adventure, Comedy, Crime",6.3,"
The 101 year old man Allan Karlsson goes through Europe in search for a Russian soda recipe he lost during the early 70s. Unfortunately, he is not the only one who is looking for it.",5595,108,,"['Adventure', 'Comedy', 'Crime']",,"Directors:
Felix Herngren, 
Måns Herngren
| 
    
Robert Gustafsson, 
Iwar Wiklander, 
David Wiberg, 
Shima Niavarani"
Kaamyaab,2018,Drama,7.9,"
Sudheer is an actor from the heyday of Bollywood. Years after his retirement, he realizes that he 'retired' on the verge of accomplishing a unique record. He decides to come out of his retirement to complete the round figure of 500.",3875,109,,['Drama'],Hardik Mehta,"Sanjay Mishra, 
Deepak Dobriyal, 
Sarika Singh, 
Isha Talwar"
Shirkers,2018,Documentary,7.4,"
A woman explores the events surrounding a film she and her friends began making with a mysterious stranger decades ago.",4707,97,,['Documentary'],Sandi Tan,"Sandi Tan, 
Jasmine Kin Kia Ng, 
Philip Cheah, 
Sophia Siddique Harvey"
The Journey Is the Destination,2016,Drama,6.3,"
Photographer Dan Eldon, was only 22 when he was killed by an angry mob in Somalia. He left behind 17 scrapbooks that held his art, chronicling his life from age 14. His work, seen in Time and Newsweek, showed only part of his talent.",552,123,,['Drama'],Bronwen Hughes,"Ben Schnetzer, 
Kelly Macdonald, 
Sam Hazeldine, 
Ella Purnell"
Limonata,2015,"Comedy, Drama",7.4,"
So begins an entertaining road story where we witness two brothers with different cultural backgrounds, who don't even know each other, have similarities, differences and even their fights.",13108,110,,"['Comedy', 'Drama']",Ali Atay,"Ertan Saban, 
Serkan Keskin, 
Funda Eryigit, 
Luran Ahmeti"
Littlest Pet Shop: A World of Our Own,2017,"Animation, Comedy, Fantasy",6.8,"
Pets are visited to a new world used only by them.",77,11,,"['Animation', 'Comedy', 'Fantasy']",,"Diana Kaarina, 
Lili Beaudoin, 
Ingrid Nilson, 
Travis Turner"
44 Gatti,2018,"Animation, Adventure, Comedy",6.1,"
44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.",238,13,,"['Animation', 'Adventure', 'Comedy']",,"Judith Cabral, 
Sarah Natochenny, 
Keira Johnson, 
Joy Salaretti"
Millennials,2018,Drama,4.2,"
Centered around 3 couples lives in Argentina as they deal with life, personal problems, and each other. Three boys work in the same office and each of their girlfriends end up becoming ...                See full summary »
",142,60,,['Drama'],,"Johanna Francella, 
Juan Manuel Guilera, 
Laura Laprida, 
Noelia Marzol"
Angry Indian Goddesses,2015,"Comedy, Drama",7.0,"
A photographer invites her closest friends to vacation at her family's home in Goa in celebration of her upcoming marriage.",2774,121,,"['Comedy', 'Drama']",Pan Nalin,"Sarah Jane Dias, 
Rajshri Deshpande, 
Sandhya Mridul, 
Amy Maghera"
Larva Island,2018,"Animation, Adventure, Comedy",6.5,"
Stranded on a tropical island, two goofy larva buddies find slapstick fun in everything from discovering food to meeting new animal friends.",375,60,,"['Animation', 'Adventure', 'Comedy']",,"Eddy Lee, 
Erica Schroeder, 
Tom Wayland"
That Girl in Yellow Boots,2010,"Crime, Drama, Mystery",6.7,"
A British woman faces challenges while attempting to locate her father in India.",3667,103,,"['Crime', 'Drama', 'Mystery']",Anurag Kashyap,"Kalki Koechlin, 
Prashant Prakash, 
Naseeruddin Shah, 
Gulshan Devaiah"
46 Yok Olan,2016,"Action, Crime, Drama",8.4,"
A genetic professor (Murat Güney) wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.",4079,60,,"['Action', 'Crime', 'Drama']",,"Erdal Besikçioglu, 
Yasemin Kay Allen, 
Melis Birkan, 
Saygin Soysal"
The Three-Body Problem,,"Adventure, Drama, Fantasy",7.1,"
Humanity's first contact with an alien civilization.",,60,,"['Adventure', 'Drama', 'Fantasy']",,
The Puffy Chair,2005,"Comedy, Drama, Romance",6.5,"
Josh Sagers drives cross-country on a mission to deliver his father's birthday gift - a giant purple LazyBoy.",4978,85,0.19,"['Comedy', 'Drama', 'Romance']",,"Directors:
Jay Duplass, 
Mark Duplass
| 
    
Mark Duplass, 
Katie Aselton, 
Rhett Wilkins, 
Julie Fischer"
Word Party,2016,"Animation, Family",5.9,"
Four adorable animal babies need your help to learn lots of skills - especially how to talk.",320,11,,"['Animation', 'Family']",,"Victor Yerrid, 
Dorien Davies, 
Misty Rosas, 
Donna Kimball"
Byeonhyeokui Sarang,2017,"Comedy, Romance",7.1,"
Byun Hyun, confident, naive, warm-hearted and a son of a wealthy family, starts living in a poor area, where he meets Baek Joon, a positive woman who works part-time jobs to make ends meet.",536,60,,"['Comedy', 'Romance']",,"Si Won Choi, 
Kang So-ra, 
Myoung Gong, 
Mi-ri Gyeon"
Me Him Her,2015,"Comedy, Romance",5.3,"
Vicenarian drifter Cory arrives in Los Angeles to help his semi-famous T.V. star friend Brendan take his first steps out of the closet.",1478,98,,"['Comedy', 'Romance']",Max Landis,"Dustin Milligan, 
Luke Bracey, 
Emily Meade, 
Kyle Bornheimer"
Il Sindaco pescatore,,Drama,7.1,"
On 5 September 2010, seven gunshots put an end to the life of Angelo Vassallo, the fisherman mayor. About twelve years earlier, Angelo, sickened by the degradation and neglect in of his country had decided to commit himself personally.",208,104,,['Drama'],Maurizio Zaccaro,"Sergio Castellitto, 
Anna Ferruzzo, 
Renato Carpentieri, 
Teresa Saponangelo"
Gojira: kessen kidô zôshoku toshi,2018,"Animation, Action, Adventure",5.8,"
Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago.",4578,101,,"['Animation', 'Action', 'Adventure']",,"Directors:
Hiroyuki Seshita, 
Kôbun Shizuno
| 
    
Mamoru Miyano, 
Takahiro Sakurai, 
Kana Hanazawa, 
Tomokazu Sugita"
Barbie Princess Adventure,2020,"Animation, Family, Musical",5.6,"
With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure.",288,72,,"['Animation', 'Family', 'Musical']",Conrad Helten,"Ogie Banks, 
Eamon Brennan, 
Nakia Burrise, 
Greg Chun"
Dukhtar,2014,"Drama, Thriller",7.0,"
In the mountains of Pakistan, a mother and her ten-year-old daughter flee their home on the eve of the girl's marriage to a tribal leader. A deadly hunt for them begins.",2324,93,,"['Drama', 'Thriller']",Afia Nathaniel,"Samiya Mumtaz, 
Mohib Mirza, 
Saleha Aref, 
Asif Khan"
The Makeover,,Comedy,5.7,"
After losing election for US Congress, the well spoken Hannah coaches a beer vendor for the position as he, contrary to Hannah, has a likable personality. Can they learn from each other?",3042,93,,['Comedy'],John Gray,"Julia Stiles, 
David Walton, 
Camryn Manheim, 
Georgia Lyman"
Jonah: A VeggieTales Movie,2002,"Animation, Adventure, Comedy",6.5,"
When the singing Veggies encounter some car trouble, they are stranded at an old rundown seafood joint, where nothing is quite as it seems.",4038,82,25.58,"['Animation', 'Adventure', 'Comedy']",,"Directors:
Mike Nawrocki, 
Phil Vischer
| 
    
Phil Vischer, 
Mike Nawrocki, 
Tim Hodge, 
Lisa Vischer"
Yucatán,,"Adventure, Comedy",5.6,"
Two white collar thieves compete fiercely against the other trying to steal millions from an old baker, that he won in the lotto.",1854,129,,"['Adventure', 'Comedy']",Daniel Monzón,"Luis Tosar, 
Rodrigo De la Serna, 
Joan Pera, 
Stephanie Cayo"
Be Here Now,2015,"Documentary, Biography, Drama",8.6,"
As though life is imitating art, actor and sex-symbol, Andy Whitfield, had just become a star as the lead in the hit television series,'Spartacus,' when he is faced with his biggest ...                See full summary »
",3288,100,0.02,"['Documentary', 'Biography', 'Drama']",Lilibet Foster,"Jai Courtney, 
Andy Whitfield, 
Indigo Whitfield, 
Jesse Whitfield"
Terrace House: Boys & Girls in the City,2015,"Drama, Reality-TV",8.1,"
Six men and women who start as strangers live together under one roof for the summer. No script, new episode released each week.",1494,30,,"['Drama', 'Reality-TV']",,"You, 
Reina Triendl, 
Yoshimi Tokui, 
Azusa Babazono"
The Legend of Cocaine Island,2018,Documentary,6.3,"
A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.",3058,83,,['Documentary'],Theo Love,"Bo Butterworth, 
Bri Bryant, 
Andy Culpepper, 
Arthur Dean"
Soni,2018,"Crime, Drama",7.1,"
While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",2594,97,,"['Crime', 'Drama']",Ivan Ayr,"Geetika Vidya Ohlyan, 
Saloni Batra, 
Vikas Shukla, 
Mohit Chauhan"
Strong Island,2017,"Documentary, Crime",6.4,"
When filmmaker Yance Ford investigates the 1992 murder of a young black man, it becomes an achingly personal journey since the victim, 24-year-old William Ford Jr., was the filmmaker's brother.",3694,107,,"['Documentary', 'Crime']",Yance Ford,"Yance Ford, 
Harvey Walker, 
Kevin Myers, 
Lauren Ford"
Chomyeone Saranghamnida,2019,"Comedy, Romance",7.4,"
Do Min Ik is an intelligent, perfectionist man with a heart of stone , and the Chief of Team 1 at T&T Mobile Media who always relies on his secretary, the hot-tempered Jung Gal Hee. ...                See full summary »
",788,35,,"['Comedy', 'Romance']",,"Ki-joo Jin, 
Kim Young-kwang, 
Jung Ae-ri, 
Han Ji-Sun"
My Dad the Bounty Hunter,,"Animation, Action, Adventure",7.1,"
Follows two children as they discover that their father is the toughest bounty hunter in all the galaxy when they accidentally hitch a ride into space.",,60,,"['Animation', 'Action', 'Adventure']",,"Devin Bright, 
Yvette Nicole Brown, 
Priah Ferguson, 
Russell Hornsby"
Todas las pecas del mundo,2019,"Comedy, Romance, Sport",5.2,"
""All the Freckles in the World,"" set in 1990s Mexico City, is the story of a young-teen boy who is trying to get the attention of the prettiest girl at his school.",1142,91,,"['Comedy', 'Romance', 'Sport']",Yibran Asuad,"Hanssel Casillas, 
Daniel Haddad, 
Anajosé Aldrete Echevarria, 
Mauricio Arvizu"
Erotica 2022,2020,"Drama, Mystery, Romance",3.4,"
Five stories about women's issues, loosely connected, and all with an erotic element.",223,137,,"['Drama', 'Mystery', 'Romance']",,"Directors:
Kasia Adamik, 
Olga Chajdas, 
Anna Jadowska, 
Anna Kazejak, 
Jagoda Szelc
| 
    
Agata Buzek, 
Andrzej Konopka, 
Izabela Baran, 
Sebastian Stankiewicz"
Vinterviken,2021,"Drama, Romance",7.1,"
The two youngsters are raised in the same city, yet they live light years apart, separated economically, socially and culturally. That is until the day they start in the same high school class.",,60,,"['Drama', 'Romance']",Alexis Almström,"Magnus Krepper, 
Marika Lagercrantz, 
Albin Grenholm, 
Loreen"
Yeopgijeogin Geunyeo,2017,"Comedy, Romance",6.9,"
A love story of a cold city scholar Gyun Woo, who's known as ""Joseon's national treasure"", and the sassy princess Hye Myung in a Joseon Dynasty era.",440,60,,"['Comedy', 'Romance']",,"Shi-Kang Lee, 
Yeon-Seo Oh, 
Joo Won, 
Jung Shin Lee"
Alles is zoals het zou moeten zijn,2020,"Comedy, Drama",5.7,"
Immediately after the birth of their first child, Iris' partner Pieter confesses that he never wanted the child, has been having an affair for a year, and will soon be leaving for Africa with his new love.",665,108,,"['Comedy', 'Drama']",Ruud Schuurman,"Barbara Sloesen, 
Jan Kooijman, 
Jelle de Jong, 
Sanne Langelaar"
Afflicted,2018,"Documentary, Mystery, Reality-TV",5.0,"
Seven people suffering with bizarre chronic illnesses hunt for explanation and cures while simultaneously battling with social skepticism and abandonment.",1080,60,,"['Documentary', 'Mystery', 'Reality-TV']",,"Bekah, 
Jake, 
Pilar, 
Star"
Ivy & Bean,,"Action, Family",7.1,"
Two unlikely friends, the loud and fearless Bean, and the thoughtful and quiet Ivy. Yet the two discover that an adventure can reveal that even seemingly different people can become the best of friends.",,60,,"['Action', 'Family']",Elissa Down,"Lidya Jewett, 
Garfield Wilson, 
Marci T. House, 
Jaycie Dotin"
